TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A00329,99853331,18711,STC 10453.5; ESTC S118122,Free,"Erasmus, Desiderius, d. 1536.",1534,[Ye dyaloge called Funus]; Colloquia. Selections,Death -- Early works to 1800.,56
A00331,99846697,11684,STC 10454; ESTC S111331,Free,"Erasmus, Desiderius, d. 1536.",1540,"A dialoge or communication of two persons deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.; Colloquia. English. Selections","Dialogues, English -- Early works to 1800.",100
A00332,99850775,16001,STC 10455; ESTC S115556,Free,"Erasmus, Desiderius, d. 1536.; Rastell, John, d. 1536.",1557,"A mery dialogue, declaringe the propertyes of shrowde shrewes, and honest wyues not onelie verie pleasaunte, but also not a lytle profitable: made by ye famous clerke D. Erasmus Roterodamus. Translated into Englyshe.",Marriage -- Early works to 1800.; Husband and wife -- Early works to 1800.; Women -- Early works to 1800.,42
A00333,99857014,22673,STC 10457; ESTC S121852,Free,"Erasmus, Desiderius, d. 1536.; Burton, William, d. 1616.",1606,Seven dialogues both pithie and profitable The 1 is of the right vse of things indifferent. 2 sheweth what comfort poperie affordeth in time of daunger. 3 is betweene a good woman and a shrew. 4 is of the conversion of a harlot. 5 is of putting forth children to nurse. 6 is of a popish pilgrimage. 7 is of a popish funerall. By W.B.; Colloquia. English. Selections,"Dialogues, Latin (Medieval and modern) -- Translations into English -- Early works to 1800.",172
A00338,99848668,13778,STC 10460; ESTC S113434,Free,"Erasmus, Desiderius, d. 1536.; Gerrard, Philip.",1545,"A very pleasaunt [and] fruitful diologe called the Epicure, made by that famous clerke Erasmus of Roterodame, newly translated. 1545; Colloquia. English. Selections","Dialogues, English -- Early works to 1800.",94
A00341,99851453,16727,STC 10465.5; ESTC S116236,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1537,The comparation of a vyrgin and a martyr; Virginis et martyris comparatio. English,Virginity -- Early works to 1800.,79
A00342,99855770,21272,STC 10466; ESTC S120574,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1559,"The complaint of peace. Wryten in Latyn, by the famous clerke, Erasimus [sic] Roterodamus. And nuely translated into Englyshe by Thomas Paynell.; Querela pacis. Selections. English",Peace -- Early works to 1800.,96
A00344,99841255,5824,STC 10467; ESTC S105527,Free,"Erasmus, Desiderius, d. 1536.; Whittington, Robert, d. ca. 1560.",1532,"De ciuilitate morun [sic] puerilium per Des. Erasmum Roterodamum, libellus nunc primum & conditus & Ã¦ditus. Roberto VVhitintoni interprete. = A lytell booke of good maners for chyldren, nowe lately compyled and put forth by Erasmus Roterodam in latyne tonge, with interpretacion of the same in to the vulgare englysshe tonge, by Robert whytyngton laureate poete. Cum priuilegio; De civilitate morum puerilium. English and Latin","Etiquette, Medieval -- Early works to 1800.; Etiquette for children and teenagers -- Early works to 1800.",107
A00350,22918687,25891,STC 10470.8; ESTC S878,Free,"Erasmus, Desiderius, d. 1536.; Paynell, Thomas.",1532,De co[n]temptu mundi The dispisyng of the worlde / co[m]piled in Latyn by Erasmus Rot. ; and translated in to Englyshe by Thomas Paynell ...,Asceticism.; Monasticism and religious orders.,112
A00354,99841256,5825,STC 10473.5; ESTC S105528,Free,"Erasmus, Desiderius, d. 1536.",1537,"Declamatio in laudem nobilissimÃ¦ artis medicinÃ¦. = A declamacion in the prayse and co[m]me[n]dation of the most hygh and excellent science of phisyke, made by the ryght famous clerke doctour Erasmus of Rotherdam, and newly translated out of Latyn into Englyshe. Cum priuilegio regali; De laude medicinae. English",Medicine -- Early works to 1800.,48
A00356,99845455,10357,STC 10474; ESTC S109811,Free,"Erasmus, Desiderius, d. 1536.; Hervet, Gentian, 1499-1584.",1526,"De immensa dei misericordia. A sermon of the excedynge great mercy of god, / made by ye moste famous doctour maister Eras. Rot. Translated out of Latine into Englisshe, at the request of the moste honorable and vertuous lady, the lady Margaret Countese of Salisbury.; De misericordia Domini English",God -- Mercy -- Early works to 1800.,102
A00358,23037037,26128,STC 10476.3; ESTC S2113,Free,"Erasmus, Desiderius, d. 1536.",1531,A treatise perswadynge a man patientlye to suffre the deth of his frende; De morte declamatio. English,Death -- Early works to 1800.,42
A00361,99844956,9815,STC 10477; ESTC S109306,Free,"Erasmus, Desiderius, d. 1536.; Roper, Margaret, 1505-1544.; Hyrde, Richard.",1526,"A deuoute treatise vpon the Pater noster, made fyrst in latyn by the moost famous doctour mayster Erasmus Roterodamus, and tourned in to englisshe by a yong vertuous and well lerned gentylwoman of. xix. yere of age",Lord's prayer -- Early works to 1800.,48
A00363,99841222,5786,STC 10479; ESTC S105494,Free,"Erasmus, Desiderius, d. 1536.; Tyndale, William, d. 1536.",1533,"A booke called in latyn Enchiridion militis christiani, and in englysshe the manuell of the christen knyght replenysshed with moste holsome preceptes, made by the famous clerke Erasmus of Roterdame, to the whiche is added a newe and meruaylous profytable preface.; Enchiridion militis Christiani. English","Spiritual life -- Modern period, 1500-.",343
A00364,99836219,477,STC 1048; ESTC S100377,Free,"I. B., gentleman.; Smith, Thomas, Sir, 1513-1577. Offer and order given forth by sir Thomas Smyth knight, and Thomas Smyth hys sonne.",1572,"A letter sent by I.B. Gentleman vnto his very frende Maystet [sic] R.C. Esquire vvherin is conteined a large discourse of the peopling & inhabiting the cuntrie called the Ardes, and other adiacent in the north of Ireland, and taken in hand by Sir Thomas Smith one of the Queenes Maiesties priuie Counsel, and Thomas Smith Esquire, his sonne.","Smith, Thomas, -- Sir, 1513-1577 -- Early works to 1800.; Smith, Thomas, -- Sir, ca. 1556-1609 -- Early works to 1800.; Ireland -- Politics and government -- 16th century -- Early works to 1800.; Ireland -- Foreign relations -- England -- Early works to 1800.; England -- Foreign relations -- Ireland -- Early works to 1800.",62
A00374,99845541,10446,STC 10488; ESTC S109902,Free,"Erasmus, Desiderius, d. 1536.; Coverdale, Miles, 1488-1568.",1545,A shorte recapitulacion or abrigement of Erasmus Enchiridion brefely comprehendinge the summe and contents therof. Very profitable and necessary to be rede of all trew Christen men. Drawne out by M. Couerdale Anno. 1545; Enchiridion militis Christiani. English. Abridgments,"Spiritual life -- Modern period, 1500-.",74
A00375,99837492,1817,STC 10489; ESTC S101684,Free,"Erasmus, Desiderius, d. 1536.",1534,"An epystell of ye famous doctor Erasm[us] of Roterdam vnto the reuerende father & excellent prince, Christofer bysshop of Basyle, co[n]cernyng the forbedynge of eatynge of flesshe, and lyke constitutyons of men. &c.; De interdicto esu carnium. English",Vegetarianism -- Religious aspects -- Early works to 1800.,136
A00376,99845544,10449,STC 10490; ESTC S109905,Free,"Erasmus, Desiderius, d. 1536.",1547,"An epistle of the famous clerke Erasmus of Roterodame, concernynge the veryte of the sacrament of Christes body and bloude whyche epistle is set before the excellent boke, intytuled D. Algeri De veritate corporis et sanguinis dominici in Eucharistia.)[sic] which boke was made by the sayd Algerus aboute fyue hondred yeared passed. And nowe of late yeares, hath agayne ben ouer seen and reuysyted, by the sayde famous clerke Erasmus of Roterodame, and dedycated by hym, unto the Reuerende father Balthasar bysshop of Hyldesyn. This present epistle of Erasmus makynge is to be founde oute, in the great volume of all his epistles, pagina, 1577. Hauynge this lytell wrytynge ouer it. In Algerum.",Lord's Supper -- Early works to 1800.,36
A00377,99841259,5828,STC 10492; ESTC S105531,Free,"Erasmus, Desiderius, d. 1536.; Taverner, Richard, 1505?-1575.",1536,"A ryght frutefull epystle, deuysed by the moste excellent clerke Erasmns [sic], in laude and prayse of matrymony, translated in to Englyshe, by Rychard Tauernour, which translation he hathe dedicate to the ryght honorable Mayster Thomas Cromwel most worthy counseloure to our souerayne lorde kyng Henry the eyght. Cum priuilegio regali; Matrimonii encomium. English",Marriage -- Early works to 1800.,70
A00378,99845547,10452,STC 10493; ESTC S109910,Free,"Erasmus, Desiderius, d. 1536.; Roy, William, fl. 1527-1531, attributed name.; Luther, Martin, 1483-1546. aut",1529,"An exhortation to the diligent studye of scripture, made by Erasmus Roterodamus. And tra[n]slated in to inglissh. An exposition in to the seventh chaptre of the first pistle to the Corinthians; Paraclesis. English","Bible. -- N.T. -- Corinthians, 1st VII -- Commentaries -- Early works to 1800.",156
A00380,99845556,10463,STC 10495; ESTC S109924,Free,"Erasmus, Desiderius, d. 1536.",1537,An exposicyon of the .xv. psalme made by mayster Erasmus of Rotherdame in whiche is full purely declared the pure and clene behauoure that ought to be in the pure churche of Chryst which is the multytude of all trewe chrysten people; De puritate ecclesiae Christi. English,"Bible. -- O.T. -- Psalms -- Criticism, interpretation, etc. -- Early works to 1800.",133
A00381,99845562,10469,STC 10498; ESTC S109931,Free,"Erasmus, Desiderius, d. 1536.",1535,"A lytle treatise of the maner and forme of confession, made by the most excellent and famous clerke, M. Eras. of Roterdame; Exomologesis. English",Confession -- Early works to 1800.,228
A00384,99837493,1818,STC 10500; ESTC S101685,Free,"Erasmus, Desiderius, d. 1536.; Chaloner, Thomas, Sir, 1521-1565.",1549,The praise of folie. = MoriÃ¦ encomium a booke made in latine by that great clerke Erasmus Roterodame. Englisshed by sir Thomas Chaloner knight.; Moriae encomium. English,Folly -- Early works to 1800.,162
A00386,99845570,10477,STC 10503; ESTC S109940,Free,"Erasmus, Desiderius, d. 1536.; Cox, Leonard, fl. 1572.",1534,The paraphrase of Erasm[us] Roterdame vpon [the] epistle of sai[n]t Paule vnto his discyple Titus lately tra[n]slated into englysshe and fyrste a goodly prologue; Paraphrases in Novum Testamentum. English. Selections,,74
A00387,99837506,1832,STC 10504; ESTC S101698,Free,"Erasmus, Desiderius, d. 1536.; Marshall, William, fl. 1535.",1534,"A playne and godly exposytion or declaratio[n] of the co[m]mune crede (which in the Latin tonge is called Symbolum Apostolorum) and of the. x. co[m]maundementes of goddes law, newly made and put forth by the famouse clarke, Mayster. Erasmus of Roterdame, at the requeste of the moste honorable lorde, Thomas Erle of wyltshyre: father to the moste gratious and vertuous Quene Anne wyf to our most gracyous soueraygne lorde kynge Henry the. viii. Cum priuilegio.; Catechismus. English",Creeds -- Early works to 1800.; Ten commandments -- Early works to 1800.,357
A00389,99851462,16736,STC 10505; ESTC S116245,Free,"Erasmus, Desiderius, d. 1536.",1538,"Preparation to deathe A booke as deuout as eloquent, compiled by Erasmus Roterodame.; De praeparatione ad mortem. English",Death -- Early works to 1800.,110
A00391,99855852,21359,STC 10507; ESTC S120657,Free,"Erasmus, Desiderius, d. 1536.",1543,"Here folowith a scorneful image or monstrus shape of a maruelous stra[n]ge fygure called, Sileni alcibiadis presentyng ye state [and] condicio[n] of this present world, [and] inespeciall of the spiritualite how farre they be from ye perfite trade and lyfe of Criste, wryte[n] in the laten tonge, by that famous clarke Erasmus, [and] lately translated in to Englyshe.; Adagia. Chil. III Cent. III. English",War -- Early works to 1800.,72
A00392,99837514,1840,STC 10508; ESTC S101706,Free,"Erasmus, Desiderius, d. 1536.",1533,A sermon made: by the famous doctor Erasmus of Roterodame; Liturgia Virginis Lauretanae. English,"Sermons, English -- 16th century.",44
A00393,99845591,10500,STC 10509; ESTC S109962,Free,"Erasmus, Desiderius, d. 1536.",1536,[A ryght excellent sermon and full of frute and edificacyon of the chylde Jesus.]; Concio de puero Jesu. English,"Sermons, English -- 16th century.",52
A00395,99855653,21155,STC 10511.5; ESTC S120456,Free,"Erbery, William, 1604-1654.",1640,"The great mystery of godliness Jesus Christ our Lord God and man, and man with God; one in Jesus Christ our Lord. By Mr. Erbury minister of the word.",Jesus Christ -- Mystical body -- Early works to 1800.,43
A00397,99847516,12553,STC 10512; ESTC S112258,Free,"Erondelle, Pierre, fl. 1586-1609.",1586,"A declaration and catholick exhortation to all Christian princes to succour the Church of God and realme of France. Written by Peter Erondelle, natife of Normandie. Faithfully translated out of the French","France -- History -- HenryIII, 1574-1589 -- Early works to 1800.; France -- Church History -- Early works to 1800.",26
A00400,99837510,1836,STC 10529; ESTC S101702,Free,"Escalante, Bernardino de, 16th cent.; Frampton, John, fl. 1577-1596.",1579,"A discourse of the nauigation which the Portugales doe make to the realmes and prouinces of the east partes of the worlde and of the knowledge that growes by them of the great thinges, which are in the dominions of China. Written by Barnardine of Escalanta, of the realme of Galisia priest. Translated out of Spanish into English, by Iohn Frampton.; Discurso de la navegacion que los portugueses hazen Ã  los reinos y provincias del Oriente. English","Asia -- Description and travel -- Early works to 1800.; Portugal -- History -- Period of discoveries, 1385-1580 -- Early works to 1800.",94
A00401,99845963,10896,STC 1053; ESTC S110413,Free,"M. B., fl. 1596.",1596,"The triall of true friendship or perfit mirror, wherby to discerne a trustie friend from a flattering parasite. Otherwise, A knacke to know a knaue from an honest man: by a perfit mirrour of both: soothly to say; trie ere you trust; beleeue no man rashly. No lesse profitable in obseruing, then pleasant in reading. By M.B.",Conduct of life -- Early works to 1800.,37
A00402,99847687,12741,STC 10532; ESTC S112433,Free,"Flacius Illyricus, Matthias, 1520-1575.; Vergerio, Pietro Paolo, 1498-1565, attrib. name. aut; Baldwin, William, ca. 1518-1563?",1552,"Wonderfull newes of the death of Paule the. iii. last byshop of Rome [and] of diuerse thynges that after his death haue happened, wherein is trulye set ... the abominable actes of his most mischeuous life. Written in Latin by. P. Esquillus, and Englyshed by W. B. Londoner.; Epistola de morte","Paul, -- III, -- Popec1468-1549 -- Early works to 1800.; Catholic Church -- Clergy -- Controversial literature -- Early works to 1800.",42
A00403,24459255,27698,STC 10533.3; ESTC S2659,Free,Essex (England),1608,At a generall asse[m]blie of the iustices of the pea[ce] ...,Hotels -- England -- Essex.; Bars (Drinking establishments) -- England -- Essex.; Taverns (Inns) -- England -- Essex.; Essex (England) -- History.,1
A00405,99853787,19183,STC 10536.5; ESTC S118580,Free,"Est, William, 1546 or 7-1625.; Est, William, 1546 or 7-1625. Mirrour of mercy.",1611,Sathans sowing season. By William Est minister and preacher of Gods word in Bydeford.,"Devil -- Early works to 1800.; Theology, Doctrinal -- Early works to 1800.",100
A00408,99853788,19184,STC 10538; ESTC S118581,Free,"Est, William, 1546 or 7-1625.",1613,"The triall of true teares. Or the summons to repentance whereby the secure sinner is taught how to escape the terrible sentence of the supreame iudge. Meditated vpon Christes weeping ouer Ierusalem, very necessarie for these present times. By William Est, Maister of Arts, and preacher of Gods Word.","Bible. -- N.T. -- Luke XIX, 41-44 -- Early works to 1800.; Repentance -- Early works to 1800.",98
A00412,99837496,1821,STC 10541; ESTC S101688,Free,"Estella, Diego de, 1524-1578.; Cotton, George.",1584,"The contempte of the vvorld, and the vanitie thereof, written by the reuerent F. Diego de Stella, of the order of S. Fr. deuided into three bookes, and of late translated out of Italian into Englishe, vvith conuenient tables in the end of the booke; Vanidad del mundo. English",Asceticism -- Early works to 1800.,566
