EEBO,Terms
8951237,Apologetics -- Early works to 1800.
8951237,Apologetics -- History -- 17th century.
8951237,Church history -- 17th century.
8951237,Christianity -- Early works to 1800.
11808549,Witchcraft.
13044780,Soul -- Early works to 1800.
11839267,Salvation -- Early works to 1800.
99828235,"Hambly
15584914,Bible. -- N.T. -- Romans VIII -- Sermons.
15584914,Sermons
11808540,Christianity -- Philosophy.
99827631,"Mountrath
13649587,"Lauderdale
99829103,"Hamilton
99828659,"Sermons
99866976,"Pearson
23364481,Broadsides -- England -- London -- 17th century.
18283142,Apocalyptic literature.
18283142,Repentance.
18283142,Great Britain -- Religion -- 17th century.
12261127,"Charles -- II
12253440,"Great Britain -- History -- Civil War
12156559,"Bible. -- N.T. -- Timothy
10334362,"Cawdrey
18762479,"Hammond
12158525,Hell.
11875380,"Tombes
99830429,Allegiance -- Early works to 1800.
99830429,Great Britain -- History -- Revolution of 1688 -- Early works to 1800.
99830429,Great Britain -- Politics and government -- 1680-1714 -- Early works to 1800.
15585262,Grace (Theology)
15585262,Providence and government of God.
11998200,Church of England -- Government.
11998200,Church and state -- Church of England.
11742084,"Grotius
12158779,Devotional exercises.
12090032,"Hammond
99827135,"Hammond
8951305,Conscience.
13044950,Church of England -- Liturgy.
19350281,Idols and images -- Worship -- Early works to 1800.
19350334,Church and state -- England.
19350334,Government
12697057,Christian life.
12697057,Conduct of life.
19537241,Church of England -- Apologetic works.
19537241,Catholic Church -- Controversial literature.
19537241,Schism.
13011409,Sin.
13011409,Repentance.
11808525,Superstition.
12279466,Church polity.
18424534,"Great Britain -- History -- Charles II
18762564,Apologetics -- Early works to 1800.
18762564,Apologetics -- History -- 17th century.
10741220,Bible. -- N.T. -- Commentaries.
10741220,Bible. -- N.T. -- Paraphrases
12398337,Church of England -- Catechisms.
12398337,Apologetics.
11887783,"Limerick (Limerick
11808508,"Turberville
12158772,Zealots (Jewish party)
12158772,Government
11415365,"Grotius
18424417,Fables.
27047018,"Sanderson
11415395,Church of England -- Sermons.
11415395,Sermons
11808516,Church of England -- Sermons.
11808516,Sermons
12088192,"Fairfax
11808559,Conscience.
12158757,Catholic Church -- Infallibility.
14911107,Church of England -- Apologetic works.
14911107,Dissenters
15585294,"Hammond
12226521,Church of England -- Liturgy.
13011408,Episcopacy.
11998199,"Heaman
99830022,Man (Christian theology) -- Poetry -- Early works to 1800.
99827632,"Whitehead
12181437,Madagascar -- Description and travel.
13011407,"Hesilrige
8951441,Fathers of the church.
8951441,Church history -- Primitive and early church
13017009,"Keith
12293160,Archery -- Early works to 1800.
19537305,"Bible. -- O.T. -- Micah VI
12954228,"Clanricarde
99833735,"Popish Plot
13316804,"Songs
27058056,"Ballads
99828256,"Theology
8951468,Jesuits -- England.
8951468,Popish Plot
11147168,"Sermons
18112358,"Bible. -- O.T. -- Numbers XVI
9681747,Church of England -- Sermons.
9681747,Bible. -- N.T. -- Timothy
12044512,"Bible. -- O.T. -- Hosea V
11739165,"Bowyer
11739141,"Bible. -- O.T. -- Isaiah LVII
13312677,"Rushout
12043074,Bible. -- N.T. -- John -- Sermons.
11773422,"Bible. -- N.T. -- Revelation III
12697074,"Sermons
13649878,"Bible. -- N.T. -- Luke XIX
13649988,"Calquit
12423522,"Charles -- I
10334382,Wedding sermons.
10334382,Sermons
12398524,"Warwick
11734077,"Bible. -- O.T. -- Psalms CXXII
12411576,"Dudson
12039999,"Wyche
11733988,"David
13650069,"Bible. -- O.T. -- Isaiah LVII
10334390,Church of England -- Sermons.
10334390,Sermons
11773652,"Bible. -- O.T. -- Exodus III
11415472,God -- Wisdom.
11415472,Sermons
14911137,Christian life.
14911137,Devotional literature.
99834527,"Sermons
8951489,Great Britain -- Politics and government -- 1689-1702.
12497245,"Heartley
12185778,English essays -- Early works to 1800.
12185778,Epigrams
12681071,Church of England -- History.
12681071,Bishops -- England.
12835706,"Du Pin
13341376,Justification -- Early works to 1800.
13341376,Redemption -- Early works to 1800.
12293709,"Bristol
12260993,"Broughton
27058240,"Cromwell
13693844,"Cromwell
13650137,"Political science -- Quotations
12315735,Political science -- Early works to 1800.
12165055,"Milton
12213232,Utopias.
12043731,Church polity.
11807044,Utopias -- Early works to 1800.
11807044,Utopias in literature.
12012538,Great Britain -- Politics and government.
15585336,"Heylyn
12213034,"Trelawny
12315733,Meditations.
13693862,"Ameyden
13016984,"Colmer
12337341,Atheism -- Sermons.
12337341,Atheism -- Early works to 1800.
12337835,"Bible. -- O.T. -- Psalms X
11766955,Medicine -- Early works to 1800.
12337567,"Bible. -- O.T. -- Psalms X
12338009,"Bible. -- O.T. -- Psalms X
12337704,"Bible. -- O.T. -- Jeremiah IX
7933817,"Bible. -- O.T. -- Jeremiah IX
12337613,"Bible. -- O.T. -- Jeremiah IX
12827829,Puritans -- History -- 17th century.
12827829,Great Britain -- Religion -- 17th century.
12193989,Organ builders -- England.
12193989,Broadsides -- England -- 17th century.
12090948,"Darien Scots' Colony
13693879,"Loo (Apeldoorn
12483600,Infants -- Diseases -- Early works to 1800.
11809643,"Nicholas
12012534,Pharmacy -- Early works to 1800.
12012534,Pharmacology -- Early works to 1800.
12012534,Gout -- Early works to 1800.
12848523,Great Britain -- Foreign relations -- Ireland.
12848523,Ireland -- Foreign relations -- Great Britain.
12848523,Ireland -- Economic conditions.
12848523,Great Britain -- Economic conditions.
19356193,Longitude -- Early works to 1800.
12701991,"Clench
99830199,"Clench
11811122,Scotland. -- Parliament. -- Letter from the Commissioners of the Kingdome of Scotland ... to W. Lenthal.
13016972,"Charles -- II
11771693,Church of England -- Controversial literature.
11771693,Society of Friends -- England -- Apologetic works.
10623604,Church of England -- Apologetic works.
10623604,Dissenters
11817853,"Bible. -- O.T. -- Isaiah XLV
11809580,Infant baptism.
11824451,Storms -- England.
11824451,Oxford (England) -- Climate.
8951554,"Sermons
18762922,"Abbott
99825548,"Goddard
19537571,"Briggs
10343620,"Reynolds
13714584,"Cromwell
99828113,"Great Britain -- Politics and government
12018902,"Hacket
18763672,"Bible. -- N.T. -- Hebrews XI
11811116,Catholic Church -- Controversial literature.
11811116,Purgatory.
99831380,"Medicine
11467144,Bible. -- O.T. -- Daniel -- Commentaries.
11467144,Bible. -- N.T. -- Revelation -- Commentaries.
12275523,Agriculture -- England -- Early works to 1800.
12859992,Utopias -- Early works to 1800.
11811097,"Potter
12110012,Protestants -- England.
12676170,Public welfare -- England -- London.
12676170,Poor -- England -- London.
12416861,Women -- Biography.
12185649,Agriculture -- Belgium -- Early works to 1800.
12185649,Agriculture -- England -- Early works to 1800.
12185649,Agriculture -- France -- Early works to 1800.
99866524,Bees -- Early works to 1800.
99866524,Silkworms -- Early works to 1800.
16170912,Catholics -- Civil rights -- Ireland.
16170912,Ireland -- History -- 1649-1775.
16170912,Ireland -- Politics and government -- 17th century.
16179824,Ireland -- History -- 1649-1775.
16179824,Ireland -- History -- Rebellion of 1641.
16179824,Ireland -- Politics and government -- 17th century.
16180069,Anti-Catholicism.
16180069,Ireland -- History -- 1649-1775.
16180069,Ireland -- Politics and government -- 17th century.
13285914,Ireland -- History -- 1660-1690 -- Sources.
99832915,Physicians -- Early works to 1800.
99832915,Mental illness -- Early works to 1800.
99832915,Medicine -- Early works to 1800.
99832915,Devotional literature -- Early works to 1800.
11854853,"Stafford
16180322,"Great Britain -- History -- Restoration
16180512,"Calamy
11854930,Broadsides -- England -- London -- 17th century
9012270,"Love
99827306,"Keith
11805560,"Proverbs
99826145,Quakers -- Early works to 1800.
13065030,"Albemarle
16138392,"James -- II
13202352,Catholic Church -- Ireland.
13202352,Protestants -- Ireland.
99825931,"Insurance Office for Houses (London
12820488,Repentance -- Early works to 1800.
99828171,"Ballads
99827749,"Ballads
7949124,"Gill
99827307,Society of Friends -- Early works to 1800.
99827307,Quakers -- Scotland -- Early works to 1800.
99828172,"Ballads
12716045,"Hodges
99825869,"William -- III
12815401,Sea songs -- England -- Texts.
12815401,Songs
99828175,Company of Scotland Trading to Africa and the Indies -- Early works to 1800.
99828175,Occasional verse -- Early works to 1800.
27125958,"Penn
9463879,Inland navigation -- Law and legislation -- England -- Lincolnshire.
9463879,Inland water transportation -- Law and legislation -- England -- Lincolnshire.
9463879,Rivers -- England -- Lincolnshire.
10580974,"Graham
99827782,"Debts
13325754,Whig Party (Great Britain)
13325754,Tories
13069418,"Sixtus -- V
12630563,Ireland -- History -- Rebellion of 1641.
18367633,Tobacco -- Taxation -- Ireland.
18367633,Beer -- Taxation -- Ireland.
18367633,Ireland -- History -- 1691-
18367633,Ireland -- Politics and government -- 17th century.
99828169,"Idell
13205673,"Mary -- I
27126230,Ireland -- History -- 1660-1688.
99825879,Ireland -- History -- 1660-1690 -- Early works to 1800.
27128998,Church and state -- Ireland.
27128998,Ireland -- History -- 1625-1649.
27129600,Church and state -- Ireland.
27129600,Ireland -- History -- 1625-1649.
27129915,Catholic Church -- Ireland -- History -- 17th century.
27129915,Ireland -- History -- 1625-1649.
99830311,Ireland -- History -- 17th century -- Early works to 1800.
27130096,Catholic Church -- Ireland -- History -- 17th century.
27130096,Ireland -- History -- 1625-1649.
27131264,Catholic Church -- Ireland -- History -- 17th century.
27131264,Ireland -- History -- 1625-1649.
16140362,Ireland -- History -- 1649-1775.
16140362,Ireland -- Politics and government -- 17th century.
27131408,"Charles -- I
18367720,"Charles -- I
16140427,Church of Ireland.
16140427,Church and state -- Ireland.
16140427,Ireland -- History -- 1649-1775.
16140427,Ireland -- Politics and government -- 17th century.
16140490,Ireland -- History -- 1649-1775.
16140490,Ireland -- Politics and government -- 17th century.
16140551,Ireland -- History -- 1649-1775.
16140551,Ireland -- Politics and government -- 17th century.
27132238,Ireland -- History -- 1660-1688.
27132238,Ireland -- Politics and government -- 17th century.
16140693,Poaching -- Ireland.
16140693,Ireland -- History -- 1649-1775.
16140693,Ireland -- Politics and government -- 17th century.
27132357,Ireland -- History -- 1625-1649.
27132357,Ireland -- Politics and government -- 17th century.
11849482,Broadsides -- England -- London -- 17th century
16141136,"Rye House Plot
27132518,"Worcester
16141296,Ireland -- History -- 1649-1775.
16141296,Ireland -- Politics and government -- 17th century.
18572683,"Charles -- II
18367728,"Charles -- II
16138228,"Ballads
13344186,"Songs
18367739,Ireland -- History -- 1660-1688.
18367739,Ireland -- Politics and government -- 17th century.
9012253,"Songs
27125792,"Ballads
16138185,"Buggs
16141349,Priorities of claims and liens -- Ireland.
16141349,Ireland -- History -- 1649-1775.
16141349,Ireland -- Politics and government -- 17th century.
18367752,Ship registers -- Ireland.
18367752,Ireland -- History -- 1660-1688.
18367752,Ireland -- Politics and government -- 17th century.
16141405,Ireland -- History -- 1649-1775.
16141405,Ireland -- Politics and government -- 17th century.
16141693,"Dublin (Ireland) -- History
12209845,"Breadalbane
27132620,"O'Neill
16141858,Taxation -- Ireland.
16141858,Ireland -- History -- 1649-1775.
16141858,Ireland -- Politics and government -- 17th century.
27134843,Ireland -- History -- 1625-1649.
12730382,"Torrington
16143494,Taxation -- Ireland.
16143494,Ireland -- History -- 1649-1775.
16143494,Ireland -- Politics and government -- 17th century.
16143536,Ireland -- History -- 1649-1775.
16143536,Ireland -- Politics and government -- 17th century.
16143592,Ireland -- History -- 1649-1775.
16143592,Ireland -- Politics and government -- 17th century.
13302102,"Strafford
18367775,Ireland -- History -- 1660-1688.
18367775,Ireland -- Politics and government -- 17th century.
16143733,Ireland -- History -- 1649-1775.
16143733,Ireland -- Politics and government -- 17th century.
16137733,Ireland -- History -- 1649-1775.
16137733,Ireland -- Politics and government -- 17th century.
16137861,Ireland -- History -- 1649-1775.
16137861,Ireland -- Politics and government -- 17th century.
16137974,Catholic Church -- Controversial literature.
16137974,Ireland -- History -- 1649-1775.
16137974,Ireland -- Politics and government -- 17th century.
16138350,Murder -- Ireland -- Rathdrum.
16138350,Ireland -- History -- 1649-1775.
16138350,Ireland -- Politics and government -- 17th century.
16138458,Ireland -- History -- 1649-1775.
16138458,Ireland -- Politics and government -- 17th century.
18367785,Grain -- Ireland.
18367785,Restraint of trade -- Ireland.
18367785,Ireland -- History -- 1660-1688.
16140595,Taxation -- Ireland.
16140595,Ireland -- History -- 1649-1775.
16140595,Ireland -- Politics and government -- 17th century.
12815227,"Great Britain -- History -- Charles II
27137352,Church and state -- Ireland.
27137352,Ireland -- History -- 1625-1649.
27137352,Ireland -- Politics and government -- 17th century.
18367797,Land tenure -- Ireland.
18367797,Priorities of claims and liens -- Ireland.
18367797,Ireland -- History -- 1660-1688.
18367797,Ireland -- Politics and government -- 17th century.
13065033,Hudson's Bay Company.
13065033,North West Company.
13065033,Broadsides -- England -- London -- 17th century
16140933,Rent -- Ireland.
16140933,Ireland -- History -- 1649-1775.
16140933,Ireland -- Politics and government -- 17th century.
16141108,Grain trade -- Law and legislation -- Ireland.
16141108,Ireland -- History -- 1649-1775.
16141108,Ireland -- Politics and government -- 17th century.
16141638,Grain trade -- Law and legislation -- Ireland.
16141638,Ireland -- History -- 1649-1775.
16141638,Ireland -- Politics and government -- 17th century.
16143472,"Ormonde
16143548,Sedition -- Ireland.
16143548,Freedom of speech -- Ireland.
16143548,Ireland -- History -- 1649-1775.
16143548,Ireland -- Politics and government -- 17th century.
99825885,Ireland -- History -- 1660-1690 -- Early works to 1800.
27137845,"O'Neill
16146270,Brigands and robbers -- Ireland.
16146270,Ireland -- History -- 1649-1775.
16146270,Ireland -- Politics and government -- 17th century.
12647892,"Great Britain -- History -- William and Mary
16146402,Letters patent -- Ireland.
16146402,Ireland -- History -- 1649-1775.
16146402,Ireland -- Politics and government -- 17th century.
16146504,Counterfeits and counterfeiting -- Ireland.
16146504,Reproduction of money
13650916,Ireland -- History -- 1660-1688 -- Sources.
13650916,Broadsdes -- Ireland -- Dublin (Dublin) -- 17th century
18367811,Ireland -- History -- 1660-1688.
18367811,Ireland -- Politics and government -- 17th century.
12815145,"Cornwallis of Eye
16146648,Ireland -- History -- 1649-1775.
16146648,Ireland -- Politics and government -- 17th century.
16146759,"Ogleby
16146944,Taxation -- Ireland.
16146944,Ireland -- History -- 1649-1775.
16146944,Ireland -- Politics and government -- 17th century.
16149145,Taxation -- Ireland.
16149145,Ireland -- History -- 1649-1775.
16149145,Ireland -- Politics and government -- 17th century.
16149224,Land titles -- Registration and transfer -- Ireland.
16149224,Ireland -- History -- 1649-1775.
16149224,Ireland -- Politics and government -- 17th century.
16149553,"Popish Plot
18367821,"Dissenters
27137953,Ireland -- History -- 1625-1649.
16150068,Brigands and robbers -- Ireland.
16150068,Ireland -- History -- 1649-1775.
16150068,Ireland -- Politics and government -- 17th century.
16150304,Firearms -- Law and legislation -- Ireland.
16150304,Anti-Catholicism -- Ireland.
16150304,Ireland -- History -- 1649-1775.
16150304,Ireland -- Politics and government -- 17th century.
16150459,Money -- Law and legislation -- Ireland.
16150459,Monetary policy -- Ireland.
16150459,Ireland -- History -- 1649-1775.
16150459,Ireland -- Politics and government -- 17th century.
16150781,Anti-Catholicism -- Ireland.
16150781,Ireland -- History -- 1649-1775.
16150781,Ireland -- Politics and government -- 17th century.
16151230,Rent -- Taxation -- Ireland.
16151230,Ireland -- History -- 1649-1775.
16151230,Ireland -- Politics and government -- 17th century.
16151500,Ireland -- History -- 1649-1775.
16151500,Ireland -- Politics and government -- 17th century.
16151891,"O'Hanlon
16156359,Ireland -- History -- 1649-1775.
16156359,Ireland -- Politics and government -- 17th century.
16156359,Castlelyons (Cork) -- Fire
16156496,Brigands and robbers -- Ireland.
16156496,Ireland -- History -- 1649-1775.
16156496,Ireland -- Politics and government -- 17th century.
16156722,Brigands and robbers -- Ireland.
16156722,Ireland -- History -- 1649-1775.
16156722,Ireland -- Politics and government -- 17th century.
16156875,Alcoholic beverages -- Taxation -- Law and legislation -- Ireland.
16156875,Ireland -- History -- 1649-1775.
16156875,Ireland -- Politics and government -- 17th century.
13652767,Church and state -- Ireland -- Early works to 1800.
13652767,Ireland -- History -- 1660-1688 -- Sources.
13652767,Broadsides -- Ireland -- Dublin (Dublin) -- 17th century.
99833185,England and Wales. -- Royal Navy. -- Victualling Office -- Early works to 1800.
99833185,Great Britain. -- Royal Navy -- Provisioning -- Early works to 1800.
27139925,Ireland -- History -- 1660-1688.
27139925,Ireland -- Politics and government -- 17th century.
27140335,"Antrim
16157112,Taxation -- Ireland.
16157112,Ireland -- History -- 1649-1775.
16157112,Ireland -- Politics and government -- 17th century.
16157460,Hearth-money -- Ireland.
16157460,Taxation -- Ireland.
16157460,Ireland -- History -- 1649-1775.
16157460,Ireland -- Politics and government -- 17th century.
18367839,Taxation -- Ireland.
18367839,Ireland -- History -- 1660-1688.
18367839,Ireland -- Politics and government -- 17th century.
16158320,Farmers -- Taxation -- Ireland.
16158320,Tariff -- Ireland.
16158320,Ireland -- History -- 1649-1775.
16158320,Ireland -- Politics and government -- 17th century.
16159296,"Popish Plot
16159476,Ireland. -- Parliament.
16159476,Ireland -- History -- 1649-1775.
16159476,Ireland -- Politics and government -- 17th century.
16161622,Ireland. -- Parliament.
16161622,Ireland -- History -- 1649-1775.
16161622,Ireland -- Politics and government -- 17th century.
16161695,Ireland. -- Parliament.
16161695,Ireland -- History -- 1649-1775.
16161695,Ireland -- Politics and government -- 17th century.
18367845,Ireland. -- Parliament.
18367845,Ireland -- History -- 1660-1688.
18367845,Ireland -- Politics and government -- 17th century.
16161744,Ireland. -- Parliament.
16161744,Ireland -- History -- 1649-1775.
16161744,Ireland -- Politics and government -- 17th century.
16161786,Ireland. -- Parliament.
16161786,Ireland -- History -- 1649-1775.
16161786,Ireland -- Politics and government -- 17th century.
16162036,Ireland. -- Parliament.
16162036,Ireland -- History -- 1649-1775.
16162036,Ireland -- Politics and government -- 17th century.
99826129,Scotland -- History -- 1660-1688 -- Early works to 1800.
16162366,Rent -- Taxation -- Ireland.
16162366,Taxation -- Ireland.
16162366,Ireland -- History -- 1649-1775.
16162366,Ireland -- Politics and government -- 17th century.
16162492,Blasphemy -- Ireland.
16162492,Ireland -- History -- 1649-1775.
16162492,Ireland -- Politics and government -- 17th century.
16162565,Fraud -- Ireland.
16162565,Tax collection -- Ireland.
16162565,Ireland -- History -- 1649-1775.
16162565,Ireland -- Politics and government -- 17th century.
16162991,"Anglo-French War
16163084,Land titles -- Ireland.
16163084,Ireland -- History -- 1649-1775.
16163084,Ireland -- Politics and government -- 17th century.
16163380,"Courts -- Ireland -- Officials and employees -- Salaries
99827793,England and Wales. -- Army -- Early works to 1800.
99827793,Ireland -- History -- 1660-1688 -- Early works to 1800.
16163763,England and Wales. -- Army.
16163763,Ireland -- History -- 1649-1775.
16163763,Ireland -- Politics and government -- 17th century.
16163949,England and Wales. -- Army.
16163949,Ireland -- History -- 1649-1775.
16163949,Ireland -- Politics and government -- 17th century.
16164171,Customs administration -- Ireland -- Officials and employees.
16164171,Fraud -- Ireland.
16164171,Ireland -- History -- 1649-1775.
16164171,Ireland -- Politics and government -- 17th century.
16164324,Grain trade -- Law and legislation -- Ireland.
16164324,Ireland -- History -- 1649-1775.
16164324,Ireland -- Politics and government -- 17th century.
16164474,Coinage -- Law and legislation -- Ireland.
16164474,Ireland -- History -- 1649-1775.
16164474,Ireland -- Politics and government -- 17th century.
18367855,Tax collection -- Ireland.
18367855,Ireland -- History -- 1660-1688.
18367855,Ireland -- Politics and government -- 17th century.
16170209,Tax collection -- Ireland.
16170209,Ireland -- History -- 1649-1775.
16170209,Ireland -- Politics and government -- 17th century.
16170286,Grain trade -- Law and legislation -- Ireland.
16170286,Ireland -- History -- 1649-1775.
16170286,Ireland -- Politics and government -- 17th century.
16170363,Grain trade -- Law and legislation -- Ireland.
16170363,Ireland -- History -- 1649-1775.
16170363,Ireland -- Politics and government -- 17th century.
16170571,"Blood
99829122,Solemn League and Covenant (1643). -- Early works to 1800.
99829122,Great Britain -- History -- Civil War
16170831,Brigands and robbers -- Ireland.
16170831,Ireland -- History -- 1649-1775.
16170831,Ireland -- Politics and government -- 17th century.
13305298,"Wynne
27164704,"Ballads
12327635,Animal behavior -- Early works to 1800.
12327635,Zoology -- Pre-Linnean works.
12327635,Natural history -- Pre-Linnean works.
12330982,Science -- Early works to 1800.
12013083,Science -- Early works to 1800.
12013083,Silkworms -- Early works to 1800.
16182067,Jacobites -- Poetry.
16182067,Great Britain -- History -- William and Mary
12253748,Swearing -- Early works to 1800.
13325785,Debt -- England -- Early works to 1800.
12425162,"Religious poetry
11217493,Christian ethics -- Poetry.
11861898,"Viner
12305334,"Hooker
12900918,"Clayton
12407041,"Essex
12830226,"James -- II
15618783,"Davies
12645349,"Great Britain -- History -- Charles I
99828790,Jesus Christ -- Early works to 1800.
12253798,Broadsides -- England -- 17th century.
16144128,"Albemarle
13042303,"Great Britain -- History -- Civil War
12101593,Pageants -- England.
12244512,"Edwards
12561438,Health resorts -- England.
12561438,Mineral waters -- Early works to 1800.
12561438,Bath (England)
12537562,Jews -- Antiquities.
12537562,Jews -- History.
99828072,Jews -- History -- 586 B.C.-70 A.D. -- Early works to 1800.
12353958,Natural history -- New England -- Pre-Linnean works.
12353958,Indians of North America -- Medicine.
12353958,Botany
15618844,"Grand Alliance
12576648,Broadsides
12443128,Great Britain -- Politics and government -- 1642-1649.
99826180,"Mary -- II
12648287,England and Wales. -- Parliament.
12648287,Sedition -- England.
12648287,Great Britain -- History -- Charles II
12368658,"Bancroft
99825902,"Faust
99829123,Adultery -- England -- Early works to 1800.
99829123,Divorce -- England -- Early works to 1800.
12253827,"Juniper
11859358,Catholic Church -- Controversial literature.
99826182,Church of England -- Clergy -- Early works to 1800.
99826182,Pastoral theology -- Early works to 1800.
99826182,Ordination -- Early works to 1800.
99826182,Clergy -- Biblical teaching -- Early works to 1800.
8780608,England and Wales. -- Army -- History.
8780608,Political prisoners -- Great Britain.
12417758,Jamaica -- Description and travel.
12417758,Jamaica -- Politics and government.
12934351,Nederlandsche Oost-Indische Compagnie.
12417833,"Great Britain -- History -- Early Stuarts
12484182,"History
99830139,"Juvenal. -- Satira 10 -- Criticism
12538174,Juvenal. -- Satura 13.
12538174,Satire -- Early works to 1800.
12538247,"Satire
12392691,"James -- I
12655049,"James -- I
12819903,"Petty
27141414,"James -- II
9550866,Great Britain -- Militia.
19347726,Soldiers -- Great Britain -- Billeting.
19347726,Great Britain -- History
23807672,Liberty of conscience -- Great Britain.
23807672,Great Britain -- History -- James II
16182888,"Great Britain -- History -- James II
31355295,Edinburgh (Scotland) -- History -- 17th century.
31355295,Scotland -- History -- 1660-1688.
31355295,Great Britain -- History -- James II
11300319,"Great Britain -- History -- James II
19570216,"James -- II
9012387,Great Britain -- History -- Revolution of 1688.
9550853,Great Britain -- History -- Revolution of 1688.
99827311,Great Britain -- History -- Revolution of 1688 -- Early works to 1800.
99827311,Great Britain -- History -- James II
9550834,Pardon -- England.
9550834,Executive power -- England.
99827801,Pardon -- England -- Early works to 1800.
99827801,Great Britain -- History -- James II
16185051,Pardon -- England.
16185051,Great Britain -- History -- James II
99827802,Clemency -- England -- Early works to 1800.
99827802,Great Britain -- History -- James II
27153694,Prisoners -- England.
27153694,Great Britain -- History -- James II
15305143,"Great Britain -- History -- James II
12181780,Excise tax -- Law and legislation -- Great Britain -- Early works to 1800.
12181780,Great Britain -- Economic policy -- History -- 17th century.
12181780,Broadsides
12889254,"Monmouth
12889225,"Monmouth
12117483,"Warrington
12269720,"Macclesfield
12267991,England and Wales. -- Parliament -- Rules and practice.
12267991,Broadsides
12117407,Church and state -- Church of England.
12117407,Freedom of religion -- Great Britain.
12117407,Broadsides
13653058,Liberty of conscience -- Scotland -- Early works to 1800.
13653058,Scotland -- Church history -- 17th century -- Sources.
13653058,Scotland -- Proclamations.
13653058,Broadsides -- Scotland -- Edinburgh (Lothian) -- 17th century
12269436,Wool industry -- Great Britain -- Early works to 1800.
12269436,Broadsides
16185694,"James
12889210,Church of England. -- Book of common prayer.
12889210,Broadsides -- England -- London -- 17th century
12267933,Wool industry -- Great Britain -- Early works to 1800.
12267933,Broadsides
16185943,"Great Britain -- History -- James II
16186114,"Great Britain -- History -- James II
31360539,"William -- III
15305055,Scotland -- History -- 1660-1688.
12889196,"Monmouth
12889183,Broadsides -- England -- London -- 17th century
12889163,Scotland. -- Parliament.
12889163,Scotland. -- Convention of Estates.
12889163,Broadsides -- England -- London -- 17th century
13070998,Broadsides -- England -- London -- 17th century
13070980,Broadsides -- Scotland -- Edinburgh -- 17th century
16186275,Scotland -- History -- Revolution of 1688.
16186275,Scotland -- Politics and government -- 17th century.
27154030,Scotland -- History -- 1660-1688.
13070972,Broadsides -- Scotland -- Edinburgh -- 17th century
12275296,Indemnity -- Scotland -- Early works to 1800.
12275296,Argyllshire (Scotland) -- Politics and government -- Early works to 1800.
12275296,Tarbert (Scotland) -- Politics and government -- Early works to 1800.
12275296,Broadsides
12271243,England and Wales. -- Parliament.
12271243,Broadsides
12350364,"James -- II
12350395,Coinage -- Law and legislation -- Great Britain -- Early works to 1800.
12350395,Broadsides
12275218,"Monmouth's Rebellion
12350438,"Monmouth's Rebellion
12350321,"James -- II
12275114,Fugitives from justice -- Great Britain -- Early works to 1800.
12275114,Crime -- Great Britain -- Sources.
12275114,Criminals -- Great Britain -- Sources.
12275114,Broadsides
13070967,Tariff -- England.
13070967,Broadsides -- England -- London -- 17th century
13070958,England and Wales. -- Parliament.
13070958,Broadsides -- England -- London -- 17th century
12117297,England and Wales. -- Parliament.
12117297,Broadsides
12117299,England and Wales. -- Parliament.
12117299,Broadsides
12279728,Wine and wine making -- England.
12279728,Broadsides
12279766,Silk industry -- Great Britain -- Law and legislation.
12279766,Broadsides
12091411,England and Wales. -- Parliament.
12091411,Broadsides
13070954,Lotteries -- England.
13070954,Broadsides -- England -- London -- 17th century
12279988,Tillage -- Law and legislation -- Great Britain.
12279988,Broadsides
12279925,Buttons -- Commerce -- Law and legislation -- Great Britain.
12279925,Broadsides
13070948,"Monmouth
12117292,England and Wales. -- Post Office.
12117292,Broadsides
12279866,East India Company.
12279866,Broadsides
13070945,Carriages and carts -- England -- London.
13070945,Broadsides -- England -- London -- 17th century
12117288,Scotland -- Politics and government -- 17th century.
12117288,Scotland -- History -- Revolution of 1688.
12117288,Broadsides
12350208,Censorship -- England -- Early works to 1800 -- Sources.
12350208,Prohibited books -- England -- Sources.
12350208,Broadsides
16186490,"Insurance
12350133,Rivers -- England -- Regulation -- Early works to 1800.
12350133,Water rights -- England -- Early works to 1800.
12350133,Broadsides
12279818,Paper industry -- Great Britain -- Law and legislation.
12279818,Broadsides
13070943,England and Wales. -- Parliament.
13070943,Broadsides -- England -- London -- 17th century
12368884,"Pirates -- America -- Legal status
13070939,Tariff -- Law and legislation -- England.
13070939,Tariff on wool -- England.
13070939,Broadsides -- England -- London -- 17th century
13071005,East India Company.
13071005,India -- Commerce -- Great Britain.
13071005,Great Britain -- Commerce -- India.
13071005,Broadsides -- England -- London -- 17th century
99827821,Elections -- Great Britain -- Early works to 1800.
99827821,Great Britain -- History -- James II
12566202,Elections -- Great Britain -- Early works to 1800.
12566202,Broadsides
12567487,"Peddlers and peddling -- Great Britain -- Legal status
12566168,Mercenary troops -- Controversial literature -- Early works to 1800.
12566168,Soldiers of fortune -- Controversial literature.
12566168,Broadsides
12567462,Hudson's Bay Company.
12567462,Broadsides
99825768,Exeter (England) -- Fairs -- Early works to 1800.
99825768,Exeter (England) -- History -- 17th century -- Early works to 1800.
12567277,"James -- II
12567228,"Charles -- II
12566110,Royal African Company.
12566110,Broadsides
12567200,"Speake
23807957,Great Britain -- History -- Revolution of 1688.
23807957,Great Britain -- Politics and government -- 1660-1714
23807957,Broadsides -- England -- London -- 17th century.
12083774,England and Wales. -- Parliament.
12083774,Great Britain -- History -- James II
99834575,Loyalty oaths -- Scotland -- Early works to 1800.
99834575,Oaths -- Scotland -- Early works to 1800.
