Identities,,,,,,,,,,,,
TCP,EEBO,VID,STC,Status,Author,Date Assigned,Title,Terms,Pages,,,
A02820,99845155,10040,STC 12953; ESTC S109508,Free,"Hawes, Stephen, d. 1523?",1509,A ioyfull medytacyon to all Englonde of the coronacyon of our moost naturall souerayne lorde kynge Henry the eyght,"Henry -- VIII, -- King of England, 1491-1547 -- Coronation -- Poetry -- Early works to 1800.",10,,,
A02822,99839675,4116,STC 12957; ESTC S103933,Free,"Hawkins, Henry, 1571?-1646.; Picart, Jean, engraver.",1632,"The history of S. Elizabeth daughter of the King of Hungary According to sundry authours who haue authentically written her life, distributed into three bookes. By H.A. Permissu superiorum.","Elizabeth, -- of Hungary, Saint, 1207-1231 -- Early works to 1800.",434,,,
A02823,99839628,4067,STC 12958; ESTC S103886,Free,"Hawkins, Henry, 1571?-1646.; Aston, Herbert, b. 1614, attributed name.; Langeren, Jacob van, engraver.; Langeren, P. van, engraver.",1633,Partheneia sacra. Or The mysterious and delicious garden of the sacred Parthenes symbolically set forth and enriched with pious deuises and emblemes for the entertainement of deuout soules; contriued al to the honour of the incomparable Virgin Marie mother of God; for the pleasure and deuotion especially of the Parthenian sodalitie of her Immaculate Conception. By H.A.,"Mary, -- Blessed Virgin, Saint -- Meditations.; Emblem books.",288,,,
A02825,99846363,11325,STC 1296.5; ESTC S110909,Free,"Bale, John, 1495-1563.",1545,[The image of bothe churches after reulacion of saynt Iohan the euangelyst],,291,,,
A02826,99855022,20492,STC 12962; ESTC S119816,Free,"Hawkins, Richard, Sir, 1562?-1622.",1622,"The observations of Sir Richard Havvkins Knight, in his voiage into the South Sea. Anno Domini 1593",America -- Discovery and exploration -- English -- Early works to 1800.; South America -- Description and travel -- Early works to 1800.,182,,,
A02827,99841841,6455,STC 12963; ESTC S106116,Free,"Hawkins, William, d. 1637.",1627,"Apollo shrouing composed for the schollars of the free-schoole of Hadleigh in Suffolke. And acted by them on Shrouetuesday, being the sixt of February, 1626.",,104,,,
A02831,99835791,11,STC 12968; ESTC S112574,Free,"Hay, George, d. 1588.",1563,"The confutation of the abbote of Crosraguels masse, set furth by Maister George Hay ...",Catholic Church -- Controversial literature -- Early works to 1800.; Catholic Church -- Doctrines -- Early works to 1800.,196,,,
A02832,99846740,11727,STC 12970; ESTC S111379,Free,"Hay, John, Sir, 1578-1654.",1617,"A speach, deliuered to the Kings most excellent Maiestie at his entrie into his good-towne of Edinburgh, vpon the xvi. of May, anno Domini 1617. In the name of the magistrates and citizens of the saide towne. By Master Iohn Hay, their clerke deputie.","James -- I, -- King of England, 1566-1625.",24,,,
A02833,99853638,19031,STC 12971; ESTC S118431,Free,"Hay, Peter, gentleman of North-Britaine.",1627,"An aduertiseme[nt] to the subjects of Scotland of the fearfull dangers threatned to Christian states; and namely, to Great Britane, by the ambition of Spayne: with a contemplation, of the truest meanes, to oppose it. Also, diverse other treatises, touching the present estate of the kingdome of Scotland; verie necessarie to bee knowne, and considered, in this tyme: called, The first blast of the trumpet. Written by Peter Hay, of Naughton, in North-Britane.","Scotland -- History -- Charles I, 1625-1649 -- Early works to 1800.",164,,,
A02834,99839681,4124,STC 12972; ESTC S103939,Free,"Hay, Peter, gentleman of North-Britaine.",1616,"A vision of Balaams asse VVherein hee did perfectly see the present estate of the Church of Rome. Written by Peter Hay Gentleman of North-Britaine, for the reformation of his countrymen. Specially of that truly noble and sincere lord, Francis Earle of Errol, Lord Hay, and great Constable of Scotland.",Catholic Church -- Controversial literature.,312,,,
A02836,99841806,6414,STC 12974; ESTC S106081,Free,"Hayman, Robert, 1578 or 9-1631?.; Owen, John, 1560?-1622. Epigrammata. Book 1-4. English. Selections.; Rabelais, François, ca. 1490-1553?; Habert, Francois, ca. 1508-ca. 1561.",1628,"Quodlibets lately come ouer from New Britaniola, old Newfound-land Epigrams and other small parcels, both morall and diuine. The first foure bookes being the authors owne: the rest translated out of that excellent epigrammatist, Mr. Iohn Owen, and other rare authors: with two epistles of that excellently wittie doctor, Francis Rablais: translated out of his French at large. All of them composed and done at Harbor-Grace in Britaniola, anciently called Newfound-Land. / By R.H. sometimes Gouernour of the plantation there.","Epigrams, English.",134,,,
A02837,99839682,4125,STC 12976; ESTC S103940,Free,"Hayne, Thomas, 1582-1645.",1632,The equall vvayes of God tending to the rectifying of the crooked wayes of man. The passages whereof are briefly and clearly drawne from the sacred Scriptures. By T.H.,Salvation -- Early works to 1800.,49,,,
A02841,99839647,4087,STC 12981; ESTC S103905,Free,"Hayne, Thomas, 1582-1645.",1607,"The times, places, and persons of the holie Scripture. Otherwise entituled, The generall vievv of the Holy Scriptures",Bible -- Commentaries -- Early works to 1800.,246,,,
A02843,24177566,27306,STC 12984.5; ESTC S122933,Free,"Hayward, John, Sir, 1564?-1627.",1602,A sermon of the stewards danger preached at Paules Crosse the 15. of August by Iohn Hayward ; and now published at the earnest request of diuers well disposed.,"Church of England -- Sermons.; Bible. -- N.T. -- Luke XVI, 1-2 -- Sermons.; Sermons, English -- 17th century.",62,,,
A02844,99839684,4127,STC 12984; ESTC S103942,Free,"Hayward, John, D.D.",1603,"Gods vniuersal right proclaimed A sermon preached at Paules Crosse, the 27. of March 1603. being the next Sunday after her Maiesties departure. By I.H.","Elizabeth -- I, -- Queen of England, 1533-1603 -- Sermons -- Early works to 1800.; Sermons, English -- 17th century.",63,,,
A02846,99839685,4128,STC 12986; ESTC S103943,Free,"Hayward, John, D.D.",1614,"The strong helper, offering to beare euery mans burthen. Or, A treatise, teaching in all troubles how to cast our burden vpon God but chiefly deliuering infallible grounds of comfort for quieting of troubled consciences. By Iohn Haivvard.",Consolation -- Early works to 1800.,668,,,
A02848,99839648,4088,STC 12988; ESTC S103906,Free,"Hayward, John, Sir, 1564?-1627.",1603,"An ansvver to the first part of a certaine conference, concerning succession, published not long since vnder the name of R. Dolman",Conference about the next succession to the crowne of Ingland -- Controversial literature -- Early works to 1800.; Kings and rulers -- Succession -- Early works to 1800.; Great Britain -- Kings and rulers -- Succession -- Early works to 1800.,178,,,
A02849,24556410,27770,STC 12989; ESTC S122571,Free,"Hayward, John, Sir, 1564?-1627.",1623,"Christs prayer vpon the Crosse for his enemies Father forgiue them, for they know not what they doe / by Sir Io. Hayward ...","Jesus Christ -- Crucifixion.; Jesus Christ -- Prayers.; Bible. -- N.T. -- Luke XXIII -- Criticism, interpretation, etc.",154,,,
A02852,24556941,27771,STC 12992; ESTC S2720,Free,"Hayward, John, Sir, 1564?-1627.",1623,Dauids teares by Sr. John Hayward ...,Bible. -- O.T. -- Psalms XXXII -- Commentaries.; Bible. -- O.T. -- Psalms CXXX -- Commentaries.,356,,,
A02855,99839650,4090,STC 12995; ESTC S103908,Free,"Hayward, John, Sir, 1564?-1627.",1599,The first part of the life and raigne of King Henrie the IIII. Extending to the end of the first yeare of his raigne. Written by I.H.; Historie of the life and raigne of Henry the Fourth,"Richard -- II, -- King of England, 1367-1400 -- Early works to 1800.; Henry -- IV, -- King of England, 1367-1413 -- Early works to 1800.; Great Britain -- History -- Richard II, 1377-1399 -- Early works to 1800.; Great Britain -- History -- Henry IV, 1399-1413 -- Early works to 1800.",160,,,
A02858,99900299,177643,STC 12998; STC 12997a.5; ESTC S122951,Free,"Hayward, John, Sir, 1564?-1627.; Vaughan, Robert, engraver.",1630,"The life, and raigne of King Edward the Sixt Written by Sr. Iohn Hayward Kt. Dr. of Lawe.","Edward -- VI, -- King of England, 1537-1553 -- Early works to 1800.; Great Britain -- History -- Edward VI, 1547-1553 -- Early works to 1800.",202,,,
A02861,99839658,4099,STC 13000; ESTC S103916,Free,"Hayward, John, Sir, 1564?-1627.",1613,"The liues of the III. Normans, Kings of England William the first. William the second. Henrie the first. Written by I.H.","William -- I, -- King of England, 1027 or 8-1087 -- Early works to 1800.; William -- II, -- King of England, 1056?-1100 -- Early works to 1800.; Henry -- I, -- King of England, 1068-1135 -- Early works to 1800.; Great Britain -- History -- Norman period, 1066-1154 -- Early works to 1800.",316,,,
A02862,99851808,17100,STC 13001; ESTC S116592,Free,"Hayward, John, Sir, 1564?-1627.",1606,"A reporte of a discourse concerning supreme power in affaires of religion Manifesting that this power is a right of regalitie, inseparably annexed to the soueraigntie of euery state: and that it is a thing both extreamely dangerous, and contrarie to the vse of all auncient empires and commonwealths, to acknowledge the same in a forraine prince.",Church and state -- Early works to 1800.,62,,,
A02864,24558192,27773,STC 13003.5; ESTC S122989,Free,"Hayward, John, Sir, 1564?-1627.",1601,The sanctuarie of a troubled soule written by I.H.,"Devotional literature, English.",266,,,
A02872,99836417,689,STC 1301; ESTC S100582,Free,"Bale, John, 1495-1563.",1570,"The image of both Churches after the most wonderfull and heauenly Reuelation of sainct Iohn the Euangelist, contayning a very fruitfull exposition or paraphrase vpon the same. Wherin it is conferred vvith the other scriptures, and most auctorised histories. Compyled by Iohn Bale an exyle also in thys lyfe, for the faithfull testimony of Iesu.",Bible. -- N.T. -- Revelation -- Commentaries.,903,,,
A02874,99839688,4131,STC 13011; ESTC S103946,Free,"Hayward, John, Sir, 1564?-1627.",1604,A treatise of vnion of the two realmes of England and Scotland. By I.H.,"Great Britain -- History -- Early Stuarts, 1603-1649.; England -- Foreign relations -- Scotland -- Early works to 1800.",64,,,
A02878,99853129,18497,STC 13015; ESTC S117920,Free,,1637,"A health to all good-fellowes: or, The good companions arithmaticke To the tune of, To drive the cold winter away.","Ballads, English -- 17th century.",2,,,
A02881,99847826,12887,STC 13020; ESTC S112579,Free,"Hedlambe, John.",1579,"An exposition of the whole eight chapiter to the Romaines, expounded by Ihon Hedlambe, preacher and minister to the congregation at Braughin, and student of Diuinitie in Peterhouse at Cambridge, before Maister Doctour Squire, and the whole ministerie assembled at the laste synode, holden at Ware in Lent laste past 1579. Wherein is perfectly proued our iustification to bee by faithe onely, to the beatyng doune and ouerthrowyng of all erronious and false opinions to the contrarie. Seen and allowed","Bible. -- N.T. -- Romans -- Criticism, interpretation, etc. -- Early works to 1800.",48,,,
A02882,99845055,9931,STC 13021; ESTC S109407,Free,"Hegendorph, Christoph, 1500-1540.; Reginald, Henryfl. 1548-1549.",1548,"Domestycal or housholde sermons for a godly housholder, to his children and famyly, compiled by the godlye learned man Christopher Hegendorffyne, doctor, moste necessarye for all faythfull housholders: nowe fyrste translated oute of laten into Englysshe: by Henry Reiginalde.; Conciones aliquot domesticae. Part 1. English",Sermons -- 16th century.,94,,,
A02883,99848673,13784,STC 13022; ESTC S113439,Free,"Hegendorph, Christoph, 1500-1540.; Reginald, Henry, fl. 1548-1549.",1549,"The seconde parte of the Domesticall or housholde sermons for a godly housholder, to his childre[n] and familie: compyled by the godly learned man Christopher Hegendorffine, doctor most necessarye for all faythefull housholders: now first translated out of laten in to English by Henry Reginalde.; Domestycal or householde sermons. Part 2","Sermons, English -- 16th century.",67,,,
A02886,99836459,734,STC 1303; ESTC S100627,Free,"Bale, John, 1495-1563.",1545,"A mysterye of inyquyte contayned within the heretycall genealogye of Ponce Pantolabus, is here both dysclosed & confuted by Iohan Bale. An, M.D.xlii. Marke in the capytall letters of this boke, the .A.B.C. with the name of the author","Huntington, John, -- preacher. -- Genealogye of heresye.; Church of England -- Controversial literature.",190,,,
A02894,99850400,15600,STC 13039; ESTC S115181,Free,"Heinsius, Daniel, 1580-1655.; Harmar, John, 1594?-1670.",1618,"The mirrour of humilitie: or Two eloquent and acute discourses vpon the natiuitie and passion of Christ full of diuine and excellent meditations and sentences. Published first in Latine by the worthy author Daniel Heinsius, and since done into English, by I.H. Master of Arts in Mag. Coll. Oxon.",Jesus Christ -- Nativity -- Early works to 1800.; Jesus Christ -- Passion -- Early works to 1800.,106,,,
A02895,99836437,711,STC 1304; ESTC S100602,Free,"Bale, John, 1495-1563.; Studley, John, 1545?-1590?",1574,"The pageant of popes contayninge the lyues of all the bishops of Rome, from the beginninge of them to the yeare of Grace 1555. Deuided into iii. sortes bishops, archbishops, and popes, vvhereof the two first are contayned in two bookes, and the third sort in fiue. In the vvhich is manifestlye shevved the beginning of Antichriste and increasing to his fulnesse, and also the vvayning of his povver againe, accordinge to the prophecye of Iohn in the Apocalips. ... Written in Latin by Maister Bale, and now Englished with sondrye additions by I.S.; Acta Romanorum pontificum. English",Catholic Church -- Controversial literature.; Popes -- Early works to 1800.,440,,,
A02897,99841786,6393,STC 13041; ESTC S106061,Free,"Heliodorus, of Emesa.; Underdown, Thomas.",1569,"An Æthiopian historie written in Greeke by Heliodorus: very vvittie and pleasaunt, Englished by Thomas Vnderdoune. With the argumente of euery booke, sette before the whole vvoorke; Aethiopica. English",,308,,,
A02903,99853961,19366,STC 13047; ESTC S118754,Free,"Lisle, William, 1579?-1637.; Heliodorus, of Emesa. Aethiopica.",1631,"The faire Æthiopian Dedicated to the King and Queene. By their Maiesties most humble subiect and seruant, William L'isle.",Ethiopia -- Fiction -- Early works to 1800.,192,,,
A02904,24561350,27776,STC 13048.5; ESTC S2725,Free,"Rowlands, Samuel, 1570?-1630?",1601,"Hels torments, and heavens glorie",Hell -- Christianity -- Early works to 1800.; Heaven -- Christianity -- Early works to 1800.,186,,,
A02906,99844817,9663,STC 1305; ESTC S109167,Free,"Bale, John, 1495-1563.",1547,[A tragedye or enterlude manyfestyng the chefe promyses of God unto man by all ages in the olde lawe from the fall of Adam to the incarnacyon of the lorde Iesus Christ. Compyled by Johan Bale ...]; Chief promises of God unto man,God -- Promises -- Drama.,40,,,
A02908,99854988,20456,STC 13050; ESTC S119782,Free,"Helwys, Edward.",1589,"A maruell, deciphered",Bible. -- N.T. -- Revelation -- Commentaries -- Early works to 1800.,26,,,
A02909,33150994,28854,STC 13051.3; ESTC S3795,Free,"Basse, William, d. ca. 1653.; Phillips, E.",1630,"A Helpe to memory and discourse with table- talke as musicke to a banquet of wine : being a compendium of witty, and vsefull propositions, problemes, and sentences / extracted from the larger volumes of physicians, philosophers, orators and poets, distilled in their assiduous and learned obseruations, and which for method, manner, and referent handling may be fitly tearmed, A Second misselany, or helpe to discourse.",Epigrams.,175,,,
A02911,99845157,10042,STC 13052; ESTC S109510,Free,"Shepherd, Luke, fl. 1548.",1548,A pore helpe The buklar [and] defence of mother holy kyrke and weape[n] to driue he[n]ce al the against here wircke.,Catholic Church. -- Controversial literature -- Early works to 1800.; Protestantism -- Early works to 1800.,18,,,
A02913,99852564,17890,STC 13054; ESTC S117349,Free,"Helwys, Thomas, 1550?-1616?, attributed name. aut; Murton, John, attributed name. aut",1615,"Obiections: answered by way of dialogue wherein is proved by the Law of God: by the law of our land: and by his Maties many testimonies that no man ought to be persecuted for his religion, so he testifie his allegeance by the Oath, appointed by law.","Oath of allegiance, 1606 -- Early works to 1800.; Freedom of religion -- Great Britain -- Early works to 1800.",88,,,
A02914,99853515,18899,STC 13055; ESTC S118308,Free,"Helwys, Thomas, 1550?-1616?",1611,"A short and plaine proofe by the word, and workes off God, that Gods decree is not the cause off anye mans sinne or condemnation And that all men are redeamed by Christ. As also. That no infants are condemned.",Free will and determinism -- Early works to 1800.,30,,,
A02916,99838490,2871,STC 13057.8; ESTC S102723,Free,"Hemmingsen, Niels, 1513-1600.; Fleming, Abraham, 1552?-1607.",1580,"The epistle of the blessed apostle Saint Paule which he, in the time of his trouble and imprisonment, sent in writting from Rome to the Ephesians. Faithfully expounded, both for the benefite of the learned and vnlearned, by Nicholas Hemming ... Familiarlie translated out of Latine into English, by Abraham Fleming. Heerein are handled the high mysteries of our saluation, as maie appeare by the table of commonplaces necessarilie annexed by the same A.F. Perused and authorised.; Commentarius in epistolam Pauli ad Ephesios. English",Bible. -- N.T. -- Ephesians -- Commentaries.,270,,,
A02919,99853639,19032,STC 13059; ESTC S118432,Free,"Hemmingsen, Niels, 1513-1600.; Rogers, Thomas, d. 1616.",1581,"The faith of the church militant moste effectualie described in this exposition of the 84. Psalme, by that reuerend pastor, and publike professor of Gods word, in the famous vniuersitie of Hassine in Denmarke, Nicholas Hemmingius. A treatise written as to the instruction of the ignorant in the groundes of religion, so to the confutation of the Iewes, the Turkes, atheists, Papists, heretiks, and al other aduersaries of the trueth whatsoeuer. Translated out of Latine into English, &c. by Thomas Rogers.",Christian life -- Early works to 1800.,582,,,
A02921,99839683,4126,STC 13060; ESTC S103941,Free,"Hemmingsen, Niels, 1513-1600.; Gace, William.",1577,"A learned and fruitefull commentarie vpon the Epistle of Iames the Apostle vvherein are diligently and profitably entreated all such matters and chiefe common places of religion as are touched in the same epistle: written in Latine by the learned clerke Nicholas Hemminge, professour of diuinitie in the Vniuersitie of Hafnie, and nevvly translated into English by VV.G.",Bible. -- N.T. -- James -- Commentaries.,189,,,
A02923,38160725,29310,STC 13062; ESTC S5140,Free,"Hemmingsen, Niels, 1513-1600.; Golding, Arthur, 1536-1606.",1569,"A Postill, or, Exposition of the Gospels that are usually red in the churches of God, vpon the Sundayes and feast dayes of Saincts written by Nicholas Hemminge a Dane, a Preacher of the Gospell, in the Vniuersitie of Hafnie ; and translated into English by Arthur Golding. ; before which Postill is sette a warning of the same Nicholas Heminge too the Ministers of Gods vvorde, concerning the co[n]tinuall agreement of Chrystes Church in the doctrine and true worshipping of God ...",Bible. -- N.T. -- Gospels -- Sermons.; Church year sermons.; Fasts and feasts -- Sermons.,736,,,
A02926,99851809,17101,STC 13065; ESTC S116593,Free,"Hemmingsen, Niels, 1513-1600.; Horsfall, John.",1574,"The preacher, or Methode of preachinge, vvrytten in Latine by Nich[olas] Hemminge, and translated into Englishe by I.H. Very necessarye for all those that by the true preaching of the Worde of God, labour to pull down the Synagoge of Sathair, and to buyide vp the Temple of God",Preaching -- Early works to 1800.,218,,,
A02928,99839705,4151,STC 13067; ESTC S103963,Free,"Hemmingsen, Niels, 1513-1600.; Denham, Nicholas.",1578,"The vvay of lyfe A Christian, and catholique institution comprehending principal poincts of Christian religion, which are necessary to bee knowne of all men, to the atteyning of saluation. First delyuered, in the Danish language for the instruction of those people, by Doctor Nicolas Hemmingius, preacher of the Gospell, and professor of diuinitie, for the Kynge of Denmarcke, in his Uniuersitie of Hafnia: and about three yeares past, (for the commoditie of others) translated into Latine, by Andrew Seurinus Velleius: and now first, and newly Englished, for the commodity of English readers: by N. Denham, this yeare of our redemption. 1578.; Via vitae. English","Theology, Doctrinal -- Early works to 1800.",234,,,
A02934,99846737,11724,STC 13075; ESTC S111375,Free,"Skelton, John, 1460?-1529, attributed name.; Hawes, Stephen, d. 1523?, attributed name.",1509,[Elegy on the death of Henry VII],"Henry -- VII, -- King of England, 1457-1509 -- Early works to 1800.",1,,,
A02945,99853516,177180,STC 13089; ESTC S118309,Free,,1547,A lamentation of the death of the moost victorious Prynce Henry the eyght late kynge of thys noble royalme of Englande,"Henry -- VIII, -- King of England, 1491-1547 -- Poetry.",1,,,
A02947,99836463,739,STC 1309; ESTC S100631,Free,"Bale, John, 1495-1563.; Seton, Alexander, d. 1542. Declaracion made at Poules Crosse in the cytye of London.",1543,"Yet a course at the Romyshe foxe A dysclosynge or openynge of the Manne of synne, co[n]tayned in the late declaratyon of the Popes olde faythe made by Edmonde Boner bysshopp of London. wherby wyllyam Tolwyn was than newlye professed at paules crosse openlye into Antichristes Romyshe relygyon agayne by a newe solempne othe of obedyence, notwythsta[n]dynge the othe made to hys prynce afore to the contrarye. An alphabetycall dyrectorye or table also in the ende thereof ... Compyled by Iohan Harryson.","Tollwyn, William, d. 1562.; Bonner, Edmund, 1500?-1569.; Seton, Alexander, d. 1542. -- Declaracion made at Poules Crosse in the cytye of London.; Church of England -- Controversial literature.",234,,,
A02948,34382577,29017,STC 13090.5; ESTC S3958,Free,"France.; Henry II, King of France, 1519-1559.; Spain. Treaties, etc, 1555 Feb. 5.",1556,"The copie of the publication of the trewse made betwene the most Cristien [sic] Kynge Henry second of that name themperour, and the kyng of Ingland his sonne published at Roan [sic] on Thursday the xx daye of Februarry [sic] ; translated out of Frenche into Inglishe.; Treaties, etc. 1556 Feb. 5","France -- History -- Henry II, 1547-1559.; Spain -- History -- Charles I, 1516-1556.; France -- Foreign relations -- Spain.; Spain -- Foreign relations -- France.; Broadsides -- London (England) -- 16th century.",1,,,
A02949,99850902,16138,STC 13091; ESTC S115684,Free,"France. Sovereign (1574-1589 : Henry III); Golding, Arthur, 1536-1606.",1576,"The edict or proclamation set forthe by the Frenche Kinge vpon the pacifying of the troubles in Fraunce, with the articles of the same pacification. Read and published in the presence of the sayd King, sitting in his Parlament, the xiij. day of May, 1576. Translated out of Frenche by Arthur Golding. Cum priuilegio; Proclamation. 1576-05-14.","France -- History -- Henry III, 1574-1589 -- Early works to 1800.",67,,,
A02951,99854997,20467,STC 13092; ESTC S119791,Free,"France. Sovereign (1574-1589 : Henry III); Aggas, Edward.; Henry III, King of France, 1551-1589.",1585,"A declaration set forth by the Frenche kinge, shewing his pleasure concerning the new troubles in his realme. Translated out of French into English by E.A.","France -- History -- Henry III, 1574-1589 -- Early works to 1800.",34,,,
A02952,99844224,9015,STC 13093; ESTC S108566,Free,"France. Sovereign (1574-1589 : Henry III); Aggas, Edward, attributed name.",1588,"A declaration of the kings pleasure published after his departure from Paris, importing the cause of his sudden going away. Translated according to the originall printed at Chartres. 1588.","France -- History -- Henry III, 1574-1589.",16,,,
A02955,99847849,12912,STC 13098.5; ESTC S112602,Free,France. Sovereign (1574-1589 : Henry III),1589,"The French kinges declaration vpon the riot, felonie, and rebellion of the duke of Mayenne & the duke and knight of Aumalle, and all their assistants. Whereunto is adioyned another declaration of the same king, against the tovvnes of Paris, Orleance, Amyens, and Abbeuille and their adherentes. Faithfully translated out of the French.","France -- History -- Henry III, 1574-1589 -- Sources.",24,,,
A02956,99839695,4140,STC 13098.8; ESTC S103953,Free,"France. Sovereign (1574-1589 : Henry III); Henry III, King of France, 1551-1589.; Henry IV, King of France, 1553-1610.; Navarre (Kingdom). Sovereign (1572-1610 : Henry III). aut",1589,"The declarations as vvell of the French King, as of the King of Nauarre Concerning the truce agreed vpon betwene their Maiesties: and touching the passage of the riuer of Loire.","France -- History -- Henry III, 1574-1589 -- Sources.",26,,,
A02957,99847850,12913,STC 13098; ESTC S112603,Free,France. Sovereign (1574-1589 : Henry III),1589,"A letter from the king, to his court of Parliament of Burdeaux, touching the death of the duke of Guyse At Burdeaux by S. Milanges, ordinary printer vnto the king. 1589. By commaundement of the said court. Newly translated according to the French coppie.","Guise, Henri, -- duc de, 1550-1588 -- Early works to 1800.",10,,,
A02959,99836268,527,STC 131; ESTC S100428,Free,"Adams, Thomas, fl. 1612-1653.",1613,"The white deuil, or The hypocrite vncased in a sermon preached at Pauls Crosse, March 7. 1612. By Thomas Adams ...","Sermons, English -- 17th century.",70,,,
A02961,99857129,22807,STC 13100; ESTC S121973,Free,"France. Parlement (Paris); Aggas, Edward, attributed name.; Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623, attributed name.",1587,"A declaration exhibited to the French king, by hys Court of Parlyament concerning the holy League Whereunto is adioyned: an aduertisement to the three estates of Fraunce, comprehending a true report of such occurrences as haue passed betweene the house of Guize, in fauour of the holy League: and the king of Nauarre & his adherents for their necessarie defence. Faithfully translated out of French.","Sainte Ligue (1576-1593) -- Early works to 1800.; France -- History -- Henry III, 1574-1589 -- Early works to 1800.",55,,,
A02967,99848808,13924,STC 13108; ESTC S113575,Free,"Navarre (Kingdom). Sovereign (1572-1610 : Henry III); Aggas, Edward, attributed name.; Henry IV, King of France, 1553-1610.",1585,A letter written by the King of Nauarre vnto the French King concerning his innocencie against the sclaunders of his aduersaries. Truely translated out of French. Anno 1585.,"Henry, -- IV, -- King of France, 1551-1589 -- Early works to 1800.; Holy League, 1576-1593 -- Early works to 1800.",16,,,
A02968,99853142,18510,STC 13109; ESTC S117933,Free,"Henry IV, King of France, 1553-1610.; Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623, attributed name.; Aggas, Edward, attributed name.; Condé, Henri I de Bourbon, prince de, 1552-1588.; Montmorency, Henri, duc de, 1534-1614.; Navarre (Kingdom). Sovereign (1572-1610 : Henry III) aut",1585,"A declaration and protestation, published by the King of Nauarre, the L. Prince of Conde, and the L. Duke of Montmorency, concerning the peace concluded with the house of Lorrayn, the captaines and chiefe aucthors of the league, to the preiudice of the house of Fraunce. Also two letters written by the sayd King of Nauarre. The one to the Parliament, the other to the maisters of Sorbonne. More an epistle written by Phillipp de Morney to the French King: hereunto, for the playner declaration of the innocencie of the sayd princes, are inserted the articles agreed vpon betweene the King and the Lordes of Guyze. All faithfully translated out of French; Déclaration et protestacion du roy de Navarre, de M. le prince de Condé et M. le duc de Montmorency sur la paix faicte avec ceux de la maison de Lorraine. English.","Holy League, 1576-1593 -- Early works to 1800.; France -- History -- Henry III, 1574-1589 -- Early works to 1800.",88,,,
A02970,99848832,13948,STC 13111; ESTC S113599,Free,"Navarre (Kingdom). Sovereign (1572-1610 : Henry III); Henry IV, King of France, 1553-1610.; Aggas, Edward, attributed name.",1586,"Three letters written by the King of Nauarre first Prince of the bloud and chiefe peere of France to the states of the cleargie, noblitie and third estate of France. More: a letter from the sayd King ot the Gouernors and communaltie of the towne of Paris. All faithfully translated out of the French.","France -- History -- Henry III, 1574-1589 -- Sources.",23,,,
A02971,99847854,12917,STC 13112; ESTC S112607,Free,"Navarre (Kingdom). Sovereign (1572-1610 : Henry III); G. R., fl. 1589.; Henry IV, King of France, 1553-1610. aut",1589,"A letter written by the king of Nauarr, to the three estates of Fraunce containing a most liuely description of the discommodities and dangers of ciuill warre: and a very forcible perswasion to obedience, vnitie, and peace. Together with a breefe declaration vpon the matters happened in Fraunce sithence the 23. day of December. 1588. Translated out of French, by G.R.","France -- History -- Henry IV, 1589-1610 -- Sources.",22,,,
A02973,99851849,17141,STC 13114; ESTC S116633,Free,"Henry IV, King of France, 1553-1610.",1590,"The oration and declaration of the French King, Henrie the fourth of that name and by the grace of God, King of Nauarre. Vttered out of his owne mouth, to the lords and gentlemen of his armie, before the citie of Paris, the eight day of this present moneth of August 1590.; Harangue et déclaration faite par le Roy Henry quatriesme de ce nom. English","France -- History -- Henry IV, 1589-1610 -- Early works to 1800.",8,,,
A02974,99844226,9017,STC 13116; ESTC S108568,Free,"France. Sovereign (1589-1610 : Henry IV); Aggas, Edward.",1591,Ordinances set foorth by the King for the rule and gouernement of his Maiesties men of warre. Read and published at Caen the 30. of March. 1591. Faithfully translated out of the French coppie printed at Caen by E.A.,Military law -- France -- Early works to 1800.,10,,,
A02975,99847861,12924,STC 13118; ESTC S112615,Free,"France. Sovereign (1589-1610 : Henry IV); Aggas, Edward.",1594,"The French kings edict vpon the reducing of the citie of Paris vnder his obedience Published the 28. of March 1594. VVhereto is adioyned the said kinges letters patents for the reestablishment of the Court of Parliament at Paris. Also a decree of the saide Court of Parliament of the 30. of March, concerning a reuocation of whatsoeuer hath bene committed in preiudice of the kinges authoritie, and the lawes of the land. All faithfully translated out of the French copies printed at Paris by Frederick Morell, by E.A.",Paris (France) -- History -- Early works to 1800.,30,,,
A02976,99844229,9020,STC 13119; ESTC S108571,Free,France. Sovereign (1589-1610 : Henry IV),1595,"The copie of a letter sent by the French king to the people of Artoys and Henault requesting them to remooue the forces gathered by the king of Spaine, from the borders of France, otherwise denouncing open warre. Also a declaration of the French kings proclaiming open warre against the king of Spaine and his adherents, and the causes him mouing therto.; Lettres du Roy portent declaration de la guerre aux villes de pays d'Artois, Hainaut, d'isle et autres de la subjection. English","France -- History -- Henry IV, 1589-1610.",18,,,
A02977,99852296,17612,STC 1312.7; ESTC S117081,Free,"Ballista, Christopher.; Googe, Barnabe, 1540-1594, attributed name.",1577,"The ouerthrovv of the gout written in Latin verse, by Doctor Christopher Balista; In podagram concertatio. English",Gout -- Early works to 1800.,35,,,
